window_start,window_open,btc_final,actual_outcome,correct_at_30s,btc_at_30s,poly_price_30s,correct_at_60s,btc_at_60s,poly_price_60s,ev_at_60s,correct_at_90s,btc_at_90s,poly_price_90s,correct_at_120s,btc_at_120s,poly_price_120s,ev_at_120s,correct_at_180s,btc_at_180s,poly_price_180s,ev_at_180s
1774487400,71242.73,71269.59,Up,True,71251.12,0.51,False,71225.01,0.64,True,False,71228.82,0.61,False,71238.6,0.51,True,True,71249.99,0.6,True
1774487700,71269.6,71209.48,Down,True,71246.0,0.6,True,71205.51,0.74,False,True,71213.25,0.7,True,71161.61,0.85,False,True,71182.09,0.85,False
1774488000,71209.48,71300.0,Up,True,71237.37,0.61,True,71230.23,0.6,True,True,71243.25,0.68,True,71251.52,0.74,True,True,71281.16,0.89,False
1774488300,71300.0,71319.69,Up,False,71300.0,0.51,True,71319.38,0.64,True,True,71344.73,0.77,True,71346.82,0.69,True,True,71302.55,0.46,True
1774488600,71319.69,71319.09,Down,True,71304.5,0.6,False,71324.58,0.6,True,False,71355.3,0.69,False,71333.01,0.54,True,False,71322.91,0.57,True
1774488900,71322.72,71314.0,Down,False,71334.87,0.57,True,71314.06,0.6,True,False,71332.1,0.5,True,71302.59,0.73,True,True,71287.01,0.86,False
1774489200,71314.0,71259.48,Down,True,71299.4,0.6699999999999999,True,71306.21,0.64,True,True,71285.51,0.6799999999999999,True,71296.48,0.69,True,True,71271.54,0.83,False
1774489500,71259.48,71227.91,Down,True,71243.54,0.5800000000000001,False,71262.01,0.49,True,True,71252.05,0.55,False,71266.66,0.59,True,False,71262.01,0.54,True
1774489800,71227.92,71250.31,Up,False,71200.99,0.64,True,71242.63,0.61,True,True,71240.52,0.63,False,71210.15,0.6699999999999999,True,True,71264.09,0.82,True
1774490100,71250.3,71252.11,Up,False,71243.66,0.5800000000000001,False,71247.31,0.5,True,True,71262.02,0.64,True,71280.03,0.76,True,True,71298.22,0.92,False
1774490400,71252.11,71262.02,Up,True,71256.63,0.59,True,71271.02,0.71,False,True,71273.39,0.63,True,71279.03,0.73,True,True,71280.09,0.72,True
1774490700,71262.01,71150.4,Down,True,71257.3,0.5800000000000001,True,71244.47,0.65,True,True,71238.0,0.7,True,71220.07,0.8,False,True,71150.0,0.98,False
1774491000,71153.35,71091.99,Down,False,71157.8,0.58,False,71160.01,0.51,True,True,71143.87,0.5700000000000001,True,71124.25,0.69,True,True,71109.98,0.73,True
1774491300,71092.0,70966.58,Down,True,71064.85,0.63,True,71045.01,0.78,False,True,71025.73,0.8200000000000001,True,71009.62,0.88,False,True,70933.52,0.99,False
1774491600,70940.87,70912.22,Down,False,70949.29,0.63,False,70949.29,0.65,True,False,70995.69,0.84,False,71004.0,0.84,False,False,70979.27,0.81,True
1774491900,70912.22,70897.2,Down,False,70949.28,0.73,False,70965.72,0.8,False,False,70971.98,0.79,False,70968.66,0.83,False,False,70948.02,0.81,True
1774492200,70894.93,70808.39,Down,False,70897.78,0.57,True,70860.0,0.61,True,True,70840.67,0.7,True,70769.51,0.92,False,True,70740.8,0.99,False
1774492500,70802.78,70792.95,Down,True,70793.82,0.48,False,70812.01,0.6,True,False,70826.05,0.67,False,70806.91,0.55,True,True,70774.0,0.7,True
1774492800,70792.96,70868.65,Up,True,70806.91,0.59,True,70804.75,0.56,True,True,70819.75,0.63,True,70845.78,0.7,True,True,70868.65,0.84,False
1774493100,70868.64,70893.2,Up,False,70855.83,0.51,False,70841.78,0.6699999999999999,True,False,70860.56,0.43000000000000005,True,70897.68,0.7,True,True,70876.26,0.5,True
1774493400,70893.2,70877.82,Down,True,70875.01,0.63,True,70884.36,0.47,True,False,70903.54,0.61,True,70884.86,0.6,True,True,70857.29,0.7,True
1774493700,70877.82,70893.02,Up,True,70892.0,0.61,True,70896.25,0.59,True,True,70909.83,0.69,True,70902.75,0.68,True,True,70886.4,0.62,True
1774494000,70893.01,70772.41,Down,True,70858.15,0.6599999999999999,True,70849.84,0.69,True,True,70843.18,0.69,True,70861.44,0.6699999999999999,True,True,70880.83,0.62,True
1774494300,70783.01,70843.39,Up,False,70771.69,0.54,False,70761.79,0.5800000000000001,True,True,70798.99,0.67,True,70789.63,0.53,True,True,70792.93,0.6,True
