window_start,btc_open,poly_open,btc_at_30s,poly_at_30s,signal_direction,outcome,won
2026-04-09 22:55 UTC,72200.58,0.525,72229.77,0.515,higher,lower,False
2026-04-09 23:00 UTC,71981.51,0.535,71981.51,0.595,higher,lower,False
2026-04-09 23:05 UTC,71888.84,0.555,71888.84,0.565,higher,higher,True
2026-04-09 23:15 UTC,71811.24,0.535,71794.85,0.565,lower,higher,False
2026-04-09 23:20 UTC,71820.83,0.585,71888.33,0.605,higher,lower,False
2026-04-09 23:25 UTC,71804.16,0.515,71811.09,0.535,lower,lower,True
2026-04-09 23:30 UTC,71812.46,0.605,71812.46,0.875,lower,lower,True
2026-04-09 23:40 UTC,71809.8,0.525,71809.8,0.565,higher,lower,False
2026-04-09 23:45 UTC,71823.61,0.635,71730.87,0.585,lower,higher,False
2026-04-09 23:50 UTC,71752.27,0.585,71780.28,0.68,lower,higher,False
2026-04-09 23:55 UTC,71812.33,0.525,71785.21,0.575,lower,lower,True
2026-04-10 00:00 UTC,71811.93,0.535,71791.32,0.525,lower,higher,False
2026-04-10 00:05 UTC,71813.76,0.545,71817.24,0.495,lower,higher,False
2026-04-10 00:10 UTC,71817.44,0.505,71790.06,0.6,lower,lower,True
2026-04-10 00:20 UTC,71670.11,0.585,71612.7,0.63,higher,higher,True
2026-04-10 00:35 UTC,71889.56,0.535,71909.47,0.66,higher,lower,False
2026-04-10 00:40 UTC,71857.88,0.505,71857.88,0.505,higher,higher,True
2026-04-10 00:45 UTC,71927.43,0.505,71899.76,0.645,lower,higher,False
2026-04-10 00:50 UTC,71972.91,0.505,71952.7,0.605,higher,higher,True
2026-04-10 00:55 UTC,71923.69,0.545,71948.95,0.565,higher,higher,True
2026-04-10 01:00 UTC,71915.36,0.645,71943.89,0.605,lower,lower,True
2026-04-10 01:05 UTC,71877.92,0.585,71882.75,0.755,higher,higher,True
2026-04-10 01:10 UTC,71928.22,0.645,71994.99,0.665,higher,higher,True
2026-04-10 01:15 UTC,72031.93,0.545,72006.7,0.595,higher,higher,True
2026-04-10 01:20 UTC,72023.78,0.505,71991.18,0.635,lower,lower,True
2026-04-10 01:25 UTC,71871.22,0.545,71871.22,0.725,higher,higher,True
2026-04-10 01:30 UTC,71823.23,0.505,71823.23,0.625,higher,higher,True
2026-04-10 01:35 UTC,72156.34,0.505,72156.34,0.525,higher,higher,True
2026-04-10 01:40 UTC,72310.34,0.595,72302.55,0.585,lower,lower,True
2026-04-10 01:45 UTC,72275.95,0.565,72290.88,0.615,lower,lower,True
2026-04-10 02:00 UTC,72166.16,0.525,72178.92,0.615,lower,lower,True
2026-04-10 02:05 UTC,72146.4,0.505,72142.8,0.575,higher,higher,True
2026-04-10 02:10 UTC,72279.55,0.515,72258.33,0.545,lower,lower,True
2026-04-10 02:15 UTC,72234.17,0.505,72234.17,0.625,higher,lower,False
2026-04-10 02:20 UTC,72213.74,0.505,72213.74,0.515,lower,lower,True
2026-04-10 02:25 UTC,72209.56,0.525,72196.0,0.635,higher,lower,False
2026-04-10 02:30 UTC,72183.56,0.545,72195.76,0.545,lower,higher,False
2026-04-10 02:35 UTC,72190.95,0.515,72208.03,0.505,lower,lower,True
2026-04-10 02:40 UTC,72177.77,0.505,72177.77,0.515,lower,lower,True
2026-04-10 02:45 UTC,72153.63,0.525,72145.67,0.535,lower,lower,True
2026-04-10 02:50 UTC,72062.12,0.545,72012.14,0.745,lower,lower,True
2026-04-10 02:55 UTC,71936.46,0.625,71971.71,0.575,lower,lower,True
2026-04-10 03:00 UTC,71968.03,0.58,71968.03,0.695,lower,lower,True
2026-04-10 03:05 UTC,72000.33,0.565,71955.63,0.585,lower,lower,True
2026-04-10 03:10 UTC,71977.07,0.605,71977.07,0.695,higher,lower,False
2026-04-10 03:15 UTC,71897.94,0.545,71897.94,0.545,higher,higher,True
2026-04-10 03:25 UTC,71879.17,0.575,71868.04,0.515,higher,lower,False
2026-04-10 03:30 UTC,71830.75,0.505,71830.79,0.565,higher,higher,True
2026-04-10 03:35 UTC,71920.71,0.545,71920.62,0.745,higher,higher,True
2026-04-10 03:40 UTC,71932.09,0.515,71905.83,0.565,higher,higher,True
2026-04-10 03:45 UTC,71928.57,0.505,71928.57,0.675,higher,lower,False
2026-04-10 03:50 UTC,71889.13,0.505,71858.42,0.695,lower,lower,True
2026-04-10 03:55 UTC,71871.56,0.505,71868.0,0.515,higher,higher,True
2026-04-10 04:00 UTC,71880.27,0.515,71880.27,0.605,higher,higher,True
2026-04-10 04:05 UTC,71909.69,0.535,71929.8,0.685,higher,higher,True
2026-04-10 04:10 UTC,71930.88,0.515,71930.88,0.505,lower,lower,True
2026-04-10 04:15 UTC,71890.81,0.545,71877.98,0.535,higher,higher,True
2026-04-10 04:20 UTC,71902.69,0.535,71902.69,0.615,higher,lower,False
2026-04-10 04:30 UTC,71915.78,0.685,71878.04,0.665,higher,lower,False
2026-04-10 04:35 UTC,71849.09,0.545,71849.09,0.505,lower,higher,False
2026-04-10 04:40 UTC,71911.3,0.515,71908.55,0.615,lower,higher,False
2026-04-10 04:50 UTC,71949.53,0.625,71891.67,0.615,lower,higher,False
2026-04-10 04:55 UTC,72107.91,0.545,72107.91,0.555,lower,higher,False
2026-04-10 05:00 UTC,72065.67,0.535,72139.3,0.565,lower,higher,False
2026-04-10 05:05 UTC,72063.05,0.505,72063.05,0.635,higher,lower,False
2026-04-10 05:10 UTC,72052.34,0.505,72052.34,0.615,lower,higher,False
2026-04-10 05:15 UTC,72052.73,0.535,72064.58,0.505,lower,higher,False
2026-04-10 20:35 UTC,73268.75,0.635,73292.09,0.525,lower,lower,True
2026-04-10 20:40 UTC,73104.21,0.635,73132.21,0.655,higher,higher,True
2026-04-10 20:45 UTC,73270.09,0.535,73270.09,0.605,lower,higher,False
2026-04-11 10:25 UTC,72881.98,0.505,72883.88,0.535,lower,higher,False
2026-04-11 10:30 UTC,72901.73,0.525,72901.73,0.505,lower,lower,True
2026-04-11 10:35 UTC,72898.43,0.515,72899.06,0.695,lower,lower,True
2026-04-11 10:40 UTC,72848.96,0.535,72842.74,0.515,lower,lower,True
2026-04-11 10:45 UTC,72814.45,0.565,72817.67,0.505,lower,higher,False
2026-04-11 10:50 UTC,72818.08,0.565,72818.08,0.715,higher,higher,True
2026-04-11 10:55 UTC,72857.43,0.535,72846.03,0.695,lower,higher,False
2026-04-11 11:00 UTC,72877.5,0.625,72865.27,0.635,lower,higher,False
2026-04-11 11:05 UTC,72876.85,0.525,72878.03,0.625,higher,higher,True
2026-04-11 11:10 UTC,72917.46,0.515,72915.01,0.525,higher,lower,False
2026-04-11 11:15 UTC,72905.44,0.505,72903.14,0.655,higher,lower,False
2026-04-11 11:20 UTC,72888.17,0.505,72881.04,0.545,lower,higher,False
2026-04-11 11:25 UTC,72903.96,0.535,72901.59,0.665,lower,lower,True
2026-04-11 11:30 UTC,72863.43,0.535,72861.5,0.625,lower,higher,False
2026-04-11 11:35 UTC,72874.58,0.505,72869.26,0.515,higher,higher,True
2026-04-11 11:40 UTC,72880.58,0.565,72884.42,0.645,lower,higher,False
